4. journal_entry,,,,,,,,,,,,,,,,,,,,,
id,kode_id,transaction_id,account_id, debit , credit ,description,journal_date,created_at,,,,,,,,,,,,,
UUID,chart,UUID,UUID, DECIMAL , DECIMAL ,TEXT,DATE,TIMESTAMP,,,,,,,,,,,,,
Primary Key,kode,FK ? transaction_finance.id,FK ? master_account.id, Debit , Kredit ,Keterangan,Tanggal jurnal,Dibuat,,,,,,,,,,,,,
,JE001,,," Rp150,000.00 ", Rp-   ,Kas bertambah,,,,,,,,,,,,,,,
,JE002,,, Rp-   ," Rp150,000.00 ",Pendapatan iuran,,,,,,,,,,,,,,,
,JE003,,," Rp5,000,000.00 ", Rp-   ,QRIS bertambah,,,,,,,,,,,,,,,
,JE004,,, Rp-   ," Rp5,000,000.00 ",Pendapatan sponsor,,,,,,,,,,,,,,,
,JE005,,," Rp750,000.00 ", Rp-   ,Beban konsumsi,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
3. transaction_finance,,,,,,,,,,,,,,,,,,,,,
id,kode_id,site,nama_kampus,Tanggal transaksi,kategori_transaksi_id,akun_pembayaran_id,nama_payer,kode_payer,kategori_payer,Metode_pembayaran,Keterangan, Nominal ,bukti_pembayaran,created_by,created_at,updated_at,,,,,
UUID,chart,"ENUM(pkkmb, pose)",VARCHAR,DATE,UUID,UUID,VARCHAR,VARCHAR,VARCHAR,VARCHAR,VARCHAR, DECIMAL ,VARCHAR,UUID,TIMESTAMP,TIMESTAMP,,,,,
Primary Key,kode,Website,Cabang kampus,Tanggal transaksi,FK ? master_transaction_category.id,FK ? master_account.id,Pembayar / Penerima,nim/kode,Asal transaksi,Akun dipakai,Keterangan, Nominal ,Nomor bukti,Admin,Dibuat,Diubah,,,,,
,TF001,pkkmb,Bandung,7/1/2026,,,Ahmad,202502011,mahasiswa,QRIS,Iuran wajib PKKMB," Rp150,000.00 ",,,,,,,,,
,TF002,pose,Bandung,7/2/2026,,,Budi,Umum01,Umum,SEABANK,Iuran wajib POSE," Rp150,000.00 ",,,,,,,,,
,TF003,pose,Bandung,7/3/2026,,,Citra,Dosen01,Dosen,TUNAI,Lomba Futsal," Rp30,000.00 ",,,,,,,,,
,TF004,pose,Bandung,7/4/2026,,,PT ABC,Sponsor01,Sponsor,VIRTUAL ACOUNT,Sponsor utama," Rp5,000,000.00 ",,,,,,,,,
,TF005,pose,Bandung,7/5/2026,,,Toko Maju,Vendor01,vendor,TUNAI,Konsumsi panitia," Rp750,000.00 ",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
2. master_transaction_category,,,,,,,,,,,,,,,,,,,,,
id,kode_id,site,type_transaksi,nama_kategori,nama_sub_kategori,kategori_lomba,nama_lomba,created_at,updated_at,,,,,,,,,,,,
UUID,chart,"ENUM(pkkmb, pose)","ENUM(income, expense)",VARCHAR,VARCHAR,VARCHAR,VARCHAR,TIMESTAMP,TIMESTAMP,,,,,,,,,,,,
Primary Key,kode,Website / Event,Jenis transaksi,Nama kategori,Sub kategori,Kategori lomba,Nama lomba,Dibuat,Diubah,,,,,,,,,,,,
,MT001,pkkmb,income,Iuran,Wajib,NULL,NULL,,,,,,,,,,,,,,
,MT002,pose,income,Iuran,Wajib,NULL,NULL,,,,,,,,,,,,,,
,MT003,pose,income,Iuran,Lomba,olahraga,Futsal,,,,,,,,,,,,,,
,MT004,pose,income,Sponsorship,Sponsor,NULL,NULL,,,,,,,,,,,,,,
,MT005,pose,expense,Konsumsi,Panitia,NULL,NULL,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
1. master_account,,,,,,,,,,,,,,,,,,,,,
id,kode_id,kode_akun,nama_akun,akun_type,created_at,updated_at,,,,,,,,,,,,,,,
UUID,chart,VARCHAR,VARCHAR,"ENUM(Asset, Liability, Equity, Revenue, Expense)",TIMESTAMP,TIMESTAMP,,,,,,,,,,,,,,,
Primary Key,kode,Kode akun,Nama akun,Jenis akun,Dibuat,Diubah,,,,,,,,,,,,,,,
,MA001,1001,Kas,Asset,,,,,,,,,,,,,,,,,
,MA002,1002,QRIS,Asset,,,,,,,,,,,,,,,,,
,MA003,4001,Pendapatan Iuran,Revenue,,,,,,,,,,,,,,,,,
,MA004,4002,Pendapatan Sponsor,Revenue,,,,,,,,,,,,,,,,,
,MA005,5001,Beban Konsumsi,Expense,,,,,,,,,,,,,,,,,
